#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
1,USA,"3,45,40,866",21,"6,20,250",1,"2,90,26,688",,"48,93,928","3,891","1,03,747","1,863","50,61,59,128","15,20,297","33,29,34,343"
2,India,"3,04,32,670","22,093","3,99,720",245,"2,94,98,619","17,097","5,34,331","8,944","21,839",287,"41,20,21,494","2,95,675","1,39,34,94,216"
3,Brazil,"1,85,59,164",,"5,18,246",,"1,68,58,632",,"11,82,286","8,318","86,700","2,421","5,32,09,627","2,48,570","21,40,62,708"
4,France,"57,75,301",,"1,11,082",,"56,18,885",,"45,334","1,204","88,284","1,698","9,30,89,184","14,23,004","6,54,17,371"
5,Russia,"55,38,142","23,543","1,35,886",672,"50,17,321","16,928","3,84,935","2,300","37,933",931,"15,01,21,327","10,28,251","14,59,96,812"
6,Turkey,"54,25,652",,"49,732",,"52,94,285",,"81,635",727,"63,651",583,"6,07,86,975","7,13,117","8,52,41,182"
7,UK,"48,00,907",,"1,28,140",,"43,24,876",,"3,47,891",283,"70,352","1,878","21,22,21,289","31,09,881","6,82,40,959"
8,Argentina,"44,70,374",,"94,304",,"40,76,921",,"2,99,149","6,308","98,017","2,068","1,66,95,671","3,66,067","4,56,08,189"
9,Italy,"42,59,909",,"1,27,566",,"40,81,902",,"50,441",247,"70,560","2,113","7,15,83,206","11,85,678","6,03,73,207"
10,Colombia,"42,40,982",,"1,06,544",,"39,36,156",,"1,98,282","8,155","82,474","2,072","1,99,36,910","3,87,712","5,14,22,011"
11,Spain,"38,08,960",,"80,875",,"35,99,724",,"1,28,361",601,"81,435","1,729","5,26,91,812","11,26,548","4,67,72,822"
12,Germany,"37,36,403",180,"91,487",28,"36,25,700","1,500","19,216",736,"44,454","1,088","6,38,13,168","7,59,222","8,40,50,720"
13,Iran,"32,18,860","14,303","84,389",125,"28,89,939","13,111","2,44,532","3,187","37,842",992,"2,33,08,926","2,74,026","8,50,61,045"
14,Poland,"28,80,010",98,"75,044",23,"26,51,906",119,"1,53,060",130,"76,180","1,985","1,74,44,955","4,61,442","3,78,05,297"
15,Mexico,"25,19,269","6,105","2,33,047",244,"20,00,530","3,149","2,85,692","4,798","19,337","1,789","75,07,730","57,628","13,02,79,378"
16,Ukraine,"22,35,801",705,"52,391",51,"21,68,387","1,719","15,023",177,"51,431","1,205","1,08,61,246","2,49,847","4,34,71,635"
17,Indonesia,"22,03,108","24,836","58,995",504,"18,90,287","9,874","2,53,826",,"7,971",213,"2,00,79,271","72,646","27,63,98,829"
18,Peru,"20,52,065",,"1,92,331",,N/A,N/A,N/A,"2,391","61,388","5,754","1,41,46,986","4,23,207","3,34,28,041"
19,South Africa,"19,73,972",,"60,647",,"17,48,042",,"1,65,283",546,"32,871","1,010","1,30,62,835","2,17,527","6,00,51,644"
20,Netherlands,"16,85,825",825,"17,748",3,"16,34,035","2,320","34,042",126,"98,169","1,034","1,47,30,069","8,57,764","1,71,72,634"
21,Czechia,"16,67,435",151,"30,304",,"16,35,643",6,"1,488",11,"1,55,417","2,825","2,98,75,529","27,84,618","1,07,28,771"
22,Chile,"15,55,902",,"32,545",,"14,94,284",,"29,073","2,994","80,703","1,688","1,69,72,436","8,80,340","1,92,79,402"
23,Philippines,"14,18,337","5,795","24,797",135,"13,41,973","2,859","51,567","1,957","12,774",223,"1,49,88,187","1,34,992","11,10,29,921"
24,Canada,"14,15,284",,"26,295",,"13,81,902",,"7,087",466,"37,175",691,"3,67,68,392","9,65,778","3,80,71,259"
25,Iraq,"13,53,458","7,554","17,216",30,"12,50,121","4,593","86,121",633,"32,917",419,"1,17,71,294","2,86,289","4,11,16,863"
26,Sweden,"10,90,553",,"14,592",,"10,61,185","2,786","14,776",41,"1,07,317","1,436","1,08,28,578","10,65,602","1,01,61,931"
27,Belgium,"10,85,131",581,"25,173",3,"10,36,032",,"23,926",143,"93,226","2,163","1,52,70,322","13,11,902","1,16,39,838"
28,Romania,"10,80,823",31,"33,861",5,"10,45,351",,"1,611",67,"56,559","1,772","98,31,916","5,14,500","1,91,09,644"
29,Pakistan,"9,58,408","1,037","22,321",40,"9,04,320",836,"31,767","1,844","4,257",99,"1,45,90,230","64,803","22,51,46,012"
30,Bangladesh,"9,21,559","8,301","14,646",143,"8,20,913","4,663","86,000","1,192","5,541",88,"66,40,982","39,929","16,63,20,679"
31,Portugal,"8,82,006","2,449","17,101",5,"8,30,224","1,234","34,681",113,"86,751","1,682","1,31,37,838","12,92,196","1,01,67,065"
32,Israel,"8,41,899",122,"6,429",,"8,33,480",14,"1,990",29,"90,274",689,"1,50,91,313","16,18,198","93,26,000"
33,Hungary,"8,08,160",32,"29,992",,"7,39,204",422,"38,964",20,"83,870","3,113","61,38,529","6,37,048","96,35,895"
34,Japan,"7,98,159",,"14,740",,"7,66,616",,"16,803",523,"6,330",117,"1,63,75,808","1,29,874","12,60,90,407"
35,Malaysia,"7,58,967","6,988","5,254",84,"6,88,260","5,580","65,453",917,"23,155",160,"1,46,45,806","4,46,818","3,27,77,993"
36,Jordan,"7,51,937",533,"9,756",6,"7,35,610",516,"6,571",467,"72,976",947,"78,92,481","7,65,975","1,03,03,841"
37,Serbia,"7,16,643",81,"7,047",,"7,07,706",115,"1,890",13,"82,351",810,"44,22,502","5,08,201","87,02,273"
38,Switzerland,"7,03,176",172,"10,894",3,"6,84,621",756,"7,661",39,"80,662","1,250","83,29,750","9,55,511","87,17,589"
39,Austria,"6,50,474",62,"10,706",4,"6,37,909",158,"1,859",52,"71,816","1,182","5,54,51,224","61,22,105","90,57,542"
40,Nepal,"6,40,662","1,857","9,145",33,"6,00,149","4,017","31,368",,"21,603",308,"33,51,263","1,13,002","2,96,56,736"
41,UAE,"6,34,582","1,675","1,819",8,"6,12,998","1,556","19,765",,"63,400",182,"5,80,26,680","57,97,365","1,00,09,147"
42,Lebanon,"5,44,866",,"7,851",,"5,32,537",,"4,478",54,"80,187","1,155","47,31,376","6,96,307","67,94,960"
43,Morocco,"5,31,361",,"9,296",,"5,17,576",,"4,489",154,"14,228",249,"68,35,770","1,83,042","3,73,45,323"
44,Saudi Arabia,"4,87,592",,"7,819",,"4,67,633",,"12,140","1,406","13,792",221,"2,19,02,140","6,19,542","3,53,52,132"
45,Ecuador,"4,58,504",,"21,560",,"4,23,688",,"13,256",422,"25,602","1,204","15,45,526","86,299","1,79,09,055"
46,Bolivia,"4,39,624","2,001","16,767",65,"3,60,926","2,075","61,931",200,"37,158","1,417","18,26,165","1,54,352","1,18,31,182"
47,Kazakhstan,"4,25,573","2,436","4,375",26,"3,96,396","1,134","24,802",221,"22,399",230,"1,15,75,012","6,09,215","1,89,99,894"
48,Paraguay,"4,23,282",,"12,895",,"3,70,655",,"39,732",541,"58,630","1,786","15,31,103","2,12,076","72,19,595"
49,Greece,"4,22,456",,"12,687",,"4,05,030",,"4,739",196,"40,729","1,223","1,06,32,619","10,25,100","1,03,72,272"
50,Bulgaria,"4,21,829",,"18,061",,"3,94,657",,"9,111",179,"61,168","2,619","31,92,798","4,62,976","68,96,247"
51,Tunisia,"4,20,103",,"14,959",,"3,54,441",,"50,703",526,"35,180","1,253","17,18,172","1,43,882","1,19,41,557"
52,Belarus,"4,18,212","1,023","3,153",10,"4,10,984","1,187","4,075",,"44,273",334,"68,13,944","7,21,340","94,46,226"
53,Panama,"4,03,778",,"6,545",,"3,84,703",,"12,530",84,"92,141","1,494","29,98,145","6,84,165","43,82,196"
54,Slovakia,"3,91,659",17,"12,511",1,"3,78,700",61,448,26,"71,703","2,290","29,64,856","5,42,788","54,62,277"
55,Uruguay,"3,69,350",,"5,593",,"3,48,489",,"15,268",260,"1,05,961","1,605","28,02,883","8,04,105","34,85,717"
56,Costa Rica,"3,67,938",,"4,667",,"2,93,532",,"69,739",412,"71,578",908,"14,89,540","2,89,773","51,40,376"
57,Georgia,"3,67,058",980,"5,327",11,"3,52,624",877,"9,107",,"92,190","1,338","58,47,116","14,68,559","39,81,534"
58,Croatia,"3,59,975",103,"8,209",3,"3,51,241",71,525,13,"88,229","2,012","21,53,014","5,27,698","40,80,009"
59,Kuwait,"3,56,687",,"1,969",,"3,36,122",,"18,596",296,"82,313",454,"29,76,536","6,86,900","43,33,286"
60,Azerbaijan,"3,36,122",75,"4,975",1,"3,30,275",56,872,,"32,856",486,"37,58,131","3,67,362","1,02,30,060"
61,Dominican Republic,"3,25,221",,"3,822",,"2,66,079",,"55,320",376,"29,684",349,"17,11,877","1,56,249","1,09,56,064"
62,Palestine,"3,14,167",,"3,563",,"3,08,186",,"2,418",7,"60,198",683,"19,02,007","3,64,446","52,18,896"
63,Denmark,"2,94,152",475,"2,535",1,"2,88,476",286,"3,141",12,"50,607",436,"6,89,36,564","1,18,60,030","58,12,512"
64,Guatemala,"2,93,583",,"9,215",,"2,64,426",,"19,942",5,"16,092",505,"15,80,329","86,620","1,82,44,318"
65,Egypt,"2,81,282",,"16,169",,"2,11,384",,"53,729",90,"2,698",155,"28,69,589","27,526","10,42,48,863"
66,Lithuania,"2,78,809",25,"4,384",1,"2,67,725",102,"6,700",45,"1,03,865","1,633","37,69,808","14,04,371","26,84,340"
67,Ethiopia,"2,76,174",,"4,320",,"2,60,372",,"11,482",145,"2,345",37,"28,66,572","24,338","11,77,83,443"
68,Venezuela,"2,72,712",,"3,119",,"2,53,946",,"15,647",356,"9,618",110,"33,59,014","1,18,460","2,83,55,608"
69,Ireland,"2,71,931",,"4,989",,"2,56,993",378,"9,949",16,"54,467",999,"47,29,538","9,47,308","49,92,608"
70,Oman,"2,70,504","1,959","3,140",40,"2,36,988","2,127","30,376",530,"51,670",600,"15,50,000","2,96,072","52,35,208"
71,Bahrain,"2,65,827",,"1,352",,"2,61,287",,"3,188",79,"1,51,040",768,"50,38,697","28,62,935","17,59,976"
72,Thailand,"2,64,834","5,533","2,080",57,"2,10,702","3,223","52,052","1,971","3,785",30,"81,29,670","1,16,181","6,99,74,416"
73,Honduras,"2,62,760",691,"7,005",25,"92,454",51,"1,63,301",566,"26,117",696,"7,92,602","78,780","1,00,60,985"
74,Sri Lanka,"2,59,089",,"3,077",,"2,25,952",,"30,060",,"12,049",143,"37,43,577","1,74,099","2,15,02,636"
75,Slovenia,"2,57,358",23,"4,419",,"2,52,368",83,571,16,"1,23,776","2,125","13,48,941","6,48,772","20,79,223"
76,Moldova,"2,56,734",,"6,194",,"2,49,706",,834,48,"63,791","1,539","12,61,083","3,13,342","40,24,616"
77,Armenia,"2,25,221",126,"4,517",3,"2,16,882",104,"3,822",,"75,864","1,522","11,88,922","4,00,478","29,68,760"
78,Qatar,"2,22,071",,590,,"2,19,799",,"1,682",53,"79,091",210,"21,65,723","7,71,322","28,07,805"
79,Bosnia and Herzegovina,"2,05,032",10,"9,667",2,"1,83,534",228,"11,831",,"62,884","2,965","10,32,106","3,16,552","32,60,459"
80,Libya,"1,93,905",431,"3,198",5,"1,78,621",234,"12,086",,"27,843",459,"11,23,702","1,61,356","69,64,103"
